,map_simple_use,premise_age_bucketed,height_bucket,total_count,global_average_floorcount
0,Mixed Use,"1837-1869,Pre 1919",0-2m,0,
1,Mixed Use,"1837-1869,Pre 1919",2-3m,0,
2,Mixed Use,"1837-1869,Pre 1919",3-4m,0,
3,Mixed Use,"1837-1869,Pre 1919",4-5m,0,
4,Mixed Use,"1837-1869,Pre 1919",5-6m,0,
5,Mixed Use,"1837-1869,Pre 1919",6-7m,0,
6,Mixed Use,"1837-1869,Pre 1919",7-8m,0,
7,Mixed Use,"1837-1869,Pre 1919",8-9m,0,
8,Mixed Use,"1837-1869,Pre 1919",9-10m,0,
9,Mixed Use,"1837-1869,Pre 1919",10-11m,0,
10,Mixed Use,"1837-1869,Pre 1919",11-12m,0,
11,Mixed Use,"1837-1869,Pre 1919",12-13m,0,
12,Mixed Use,"1837-1869,Pre 1919",13-14m,0,
13,Mixed Use,"1837-1869,Pre 1919",14-15m,0,
14,Mixed Use,"1837-1869,Pre 1919",15-16m,0,
15,Mixed Use,"1837-1869,Pre 1919",16-17m,0,
16,Mixed Use,"1837-1869,Pre 1919",17-18m,0,
17,Mixed Use,"1837-1869,Pre 1919",18-19m,0,
18,Mixed Use,"1837-1869,Pre 1919",19-20m,0,
19,Mixed Use,"1837-1869,Pre 1919",20-22m,0,
20,Mixed Use,"1837-1869,Pre 1919",22-24m,0,
21,Mixed Use,"1837-1869,Pre 1919",24-26m,0,
22,Mixed Use,"1837-1869,Pre 1919",26-28m,0,
23,Mixed Use,"1837-1869,Pre 1919",28-30m,0,
24,Mixed Use,"1837-1869,Pre 1919",30-35m,0,
25,Mixed Use,"1837-1869,Pre 1919",35-40m,0,
26,Mixed Use,"1837-1869,Pre 1919",40-45m,0,
27,Mixed Use,"1837-1869,Pre 1919",45-50m,0,
28,Mixed Use,"1837-1869,Pre 1919",50-55m,0,
29,Mixed Use,"1837-1869,Pre 1919",55-60m,0,
30,Mixed Use,"1837-1869,Pre 1919",60-70m,0,
31,Mixed Use,"1837-1869,Pre 1919",70-80m,0,
32,Mixed Use,"1837-1869,Pre 1919",80-90m,0,
33,Mixed Use,"1837-1869,Pre 1919",90-100m,0,
34,Mixed Use,"1837-1869,Pre 1919",100-200m,0,
35,Mixed Use,1919-1944,0-2m,0,
36,Mixed Use,1919-1944,2-3m,4,1.0
37,Mixed Use,1919-1944,3-4m,23,1.0
38,Mixed Use,1919-1944,4-5m,13,1.0
39,Mixed Use,1919-1944,5-6m,772,1.9870466321243523
40,Mixed Use,1919-1944,6-7m,1765,2.0
41,Mixed Use,1919-1944,7-8m,5501,2.0392655880748953
42,Mixed Use,1919-1944,8-9m,19830,2.073827534039334
43,Mixed Use,1919-1944,9-10m,30656,2.140625
44,Mixed Use,1919-1944,10-11m,15447,2.315854211173691
45,Mixed Use,1919-1944,11-12m,6467,2.911550950981908
