Unnamed: 0,map_simple_use,premise_age_bucketed,height_bucket,total_count,global_average_floorcount
3257,Residential,1919-1944,3-4m,1168,1.0
3258,Residential,1919-1944,4-5m,3089,1.0
3259,Residential,1919-1944,5-6m,93129,1.942563540894888
3260,Residential,1919-1944,6-7m,154905,2.0
3261,Residential,1919-1944,7-8m,541583,2.005938147984704
3262,Residential,1919-1944,8-9m,1695965,2.0096617559914267
3263,Residential,1919-1944,9-10m,950997,2.017737174775525
3264,Residential,1919-1944,10-11m,273243,2.036454730770779
3265,Residential,1919-1944,11-12m,18254,2.4310835981154817
3266,Residential,1919-1944,12-13m,3702,3.6677471636953
3267,Residential,1919-1944,13-14m,2141,3.869219990658571
3268,Residential,1919-1944,14-15m,1248,3.96474358974359
3269,Residential,1919-1944,15-16m,881,4.102156640181612
3270,Residential,1919-1944,16-17m,684,4.283625730994152
3271,Residential,1919-1944,17-18m,457,4.743982494529541
3272,Residential,1919-1944,18-19m,418,5.244019138755981
3273,Residential,1919-1944,19-20m,377,5.084880636604774
3274,Residential,1919-1944,20-22m,453,5.328918322295806
3275,Residential,1919-1944,22-24m,119,5.714285714285714
3276,Residential,1919-1944,24-26m,42,6.523809523809524
3277,Residential,1919-1944,26-28m,44,7.977272727272727
3278,Residential,1919-1944,28-30m,19,9.36842105263158
3279,Residential,1919-1944,30-35m,31,8.96774193548387
3782,Residential,1945-1959,3-4m,1275,1.0
3783,Residential,1945-1959,4-5m,11968,1.0
3784,Residential,1945-1959,5-6m,155150,1.8774476313245247
3785,Residential,1945-1959,6-7m,201030,2.0
3786,Residential,1945-1959,7-8m,539286,2.01410197928372
3787,Residential,1945-1959,8-9m,1682043,2.021033945029943
3788,Residential,1945-1959,9-10m,575032,2.0406812142628583
3789,Residential,1945-1959,10-11m,78498,2.264286988203521
3790,Residential,1945-1959,11-12m,12055,3.281874740771464
3791,Residential,1945-1959,12-13m,6580,3.8310030395136776
3792,Residential,1945-1959,13-14m,4038,3.864784546805349
3793,Residential,1945-1959,14-15m,2256,3.9095744680851054
3794,Residential,1945-1959,15-16m,1182,4.010998307952622
3795,Residential,1945-1959,16-17m,870,4.258620689655173
3796,Residential,1945-1959,17-18m,549,4.774134790528233
3797,Residential,1945-1959,18-19m,506,5.148221343873518
3798,Residential,1945-1959,19-20m,312,5.259615384615385
3799,Residential,1945-1959,20-22m,386,5.367875647668394
3800,Residential,1945-1959,22-24m,180,5.966666666666667
3801,Residential,1945-1959,24-26m,96,7.614583333333333
3802,Residential,1945-1959,26-28m,109,8.146788990825687
3803,Residential,1945-1959,28-30m,57,8.736842105263158
3804,Residential,1945-1959,30-35m,93,11.064516129032258
3805,Residential,1945-1959,35-40m,57,12.87719298245614
3807,Residential,1945-1959,45-50m,26,15.5
4202,Residential,1960-1979,3-4m,1437,1.0
4203,Residential,1960-1979,4-5m,18993,1.0
4204,Residential,1960-1979,5-6m,219837,1.868479828236375
4205,Residential,1960-1979,6-7m,361017,2.0
4206,Residential,1960-1979,7-8m,590493,2.018523504935706
4207,Residential,1960-1979,8-9m,1828092,2.0293759832656124
4208,Residential,1960-1979,9-10m,650469,2.0829355434309704
4209,Residential,1960-1979,10-11m,89123,2.519989228369781
4210,Residential,1960-1979,11-12m,20747,3.3140695040246784
4211,Residential,1960-1979,12-13m,11585,3.696676737160121
4212,Residential,1960-1979,13-14m,8471,3.8003777594144728
4213,Residential,1960-1979,14-15m,5028,3.886833731105808
4214,Residential,1960-1979,15-16m,3400,3.9714705882352943
4215,Residential,1960-1979,16-17m,2266,4.229037952338923
4216,Residential,1960-1979,17-18m,1201,4.694421315570359
4217,Residential,1960-1979,18-19m,1065,4.915492957746479
4218,Residential,1960-1979,19-20m,668,4.913173652694611
