map_simple_use,premise_age_bucketed,height_bucket,total_count,global_average_floorcount,updated
Mixed Use,1919-1944,2-3m,12,1.0,True
Mixed Use,1919-1944,3-4m,666,1.0,True
Mixed Use,1919-1944,4-5m,203,1.0,True
Mixed Use,1919-1944,5-6m,772,1.9870466321243525,False
Mixed Use,1919-1944,6-7m,1765,2.0,False
Mixed Use,1919-1944,7-8m,5501,2.0392655880748953,False
Mixed Use,1919-1944,8-9m,19830,2.073827534039334,False
Mixed Use,1919-1944,9-10m,30656,2.140625,False
Mixed Use,1919-1944,10-11m,15447,2.315854211173691,False
Mixed Use,1919-1944,11-12m,6467,2.911550950981908,False
Mixed Use,1919-1944,12-13m,6381,3.0405892493339604,False
Mixed Use,1919-1944,13-14m,5398,3.083178955168581,False
Mixed Use,1919-1944,14-15m,4034,3.164600892414477,False
Mixed Use,1919-1944,15-16m,2688,3.3061755952380953,False
Mixed Use,1919-1944,16-17m,1753,3.638904734740445,False
Mixed Use,1919-1944,17-18m,1013,4.047384007897334,False
Mixed Use,1919-1944,18-19m,781,4.099871959026888,False
Mixed Use,1919-1944,19-20m,443,4.169300225733634,False
Mixed Use,1919-1944,20-22m,486,4.3806584362139915,False
Mixed Use,1919-1944,22-24m,143,5.195804195804196,False
Mixed Use,1919-1944,24-26m,55,5.618181818181818,False
Mixed Use,1919-1944,26-28m,53,5.9245283018867925,False
Mixed Use,1919-1944,28-30m,27,6.37037037037037,False
Mixed Use,1919-1944,30-35m,34,7.382352941176471,False
Mixed Use,1919-1944,35-40m,26,8.23076923076923,False
Mixed Use,1919-1944,40-45m,87,10.206624168514411,True
Mixed Use,"1919-1944,1945-1959",5-6m,2087,1.9256124704355424,True
Mixed Use,"1919-1944,1945-1959",6-7m,4421,2.0,True
Mixed Use,"1919-1944,1945-1959",7-8m,13202,2.033442819089168,True
Mixed Use,"1919-1944,1945-1959",8-9m,41625,2.098780412768703,True
Mixed Use,"1919-1944,1945-1959",9-10m,34,2.0588235294117645,False
Mixed Use,"1919-1944,1945-1959",10-11m,26,2.076923076923077,False
Mixed Use,"1919-1944,1945-1959",11-12m,14403,2.93426980201052,True
Mixed Use,"1919-1944,1945-1959",12-13m,14202,3.185960732640488,True
Mixed Use,"1919-1944,1945-1959",13-14m,13094,3.217396930097545,True
